"Fill this in, then ask Claude to build the deck. Money in $000s. Negatives with a minus sign. Auto-computed fields (margins, totals, %) are NOT entered.",,,,,,,
,,,,,,,
=== PERIOD & LABELS ===,,,,,,,
Field,Value,,,,,,
entity,[Company Name],,,,,,
period,[Month Year],,,,,,
periodShort,[Mon-YY],,,,,,
priorMonth,[Prior Mon-YY],,,,,,
priorYear,[Prior Yr Mon-YY],,,,,,
fiscalYTD,[YTD Year],,,,,,
currency,$,,,,,,
fundCurrency,$US,,,,,,
preparedBy,Office of the CFO,,,,,,
status,Board Update,,,,,,
confidential,Confidential,,,,,,
,,,,,,,
=== MONTHLY TREND (13 months oldest to newest; last = current month) ===,,,,,,,
Month (MM-YY),Revenue,Adj. EBITDA,,,,,
[m1],0,0,,,,,
[m2],0,0,,,,,
[m3],0,0,,,,,
[m4],0,0,,,,,
[m5],0,0,,,,,
[m6],0,0,,,,,
[m7],0,0,,,,,
[m8],0,0,,,,,
[m9],0,0,,,,,
[m10],0,0,,,,,
[m11],0,0,,,,,
[m12],0,0,,,,,
[m13 = current],0,0,,,,,
,,,,,,,
=== CONSOLIDATED SUMMARY - PRO FORMA (organic) ===,,,,,,,
Field,Value,,,,,,
basis,Organic / pro forma.,,,,,,
monthRevPriorMo,0,,,,,,
monthRevPriorYr,0,,,,,,
monthEbtPriorMo,0,,,,,,
monthEbtPriorYr,0,,,,,,
ytd_rev,0,,,,,,
ytd_revPriorYr,0,,,,,,
ytd_ebitda,0,,,,,,
ytd_ebitdaPriorYr,0,,,,,,
ltm_rev,0,,,,,,
ltm_revPriorYr,0,,,,,,
ltm_ebitda,0,,,,,,
ltm_ebitdaPriorYr,0,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
commentary_3,,,,,,,
,,,,,,,
=== CONSOLIDATED SUMMARY - AS REPORTED (all entities owned) ===,,,,,,,
Field,Value,,,,,,
basis,Includes all entities owned in the period.,,,,,,
monthRevPriorMo,0,,,,,,
monthRevPriorYr,0,,,,,,
monthEbtPriorMo,0,,,,,,
monthEbtPriorYr,0,,,,,,
ytd_rev,0,,,,,,
ytd_revPriorYr,0,,,,,,
ytd_ebitda,0,,,,,,
ytd_ebitdaPriorYr,0,,,,,,
ltm_rev,0,,,,,,
ltm_revPriorYr,0,,,,,,
ltm_ebitda,0,,,,,,
ltm_ebitdaPriorYr,0,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
commentary_3,,,,,,,
,,,,,,,
=== P&L BY COMPANY (gross profit / margin / consolidated row auto-computed) ===,,,,,,,
Company,Short,Color,Revenue,COS,Staff,Prof Fees,S&M
[Company 1],[Co 1],#2B28F5,0,0,0,0,0
[Company 2],[Co 2],#7A5CF5,0,0,0,0,0
Head Office,Head Off.,#BFC0E6,0,0,0,0,0
P&L extra columns (Subs and EBITDA per company above),,,,,,,
Company,Subs,Adj. EBITDA,,,,,
[Company 1],0,0,,,,,
[Company 2],0,0,,,,,
Head Office,0,0,,,,,
,,,,,,,
=== BY COMPANY - MONTH: REVENUE (mom/yoy/consolidated auto-computed) ===,,,,,,,
Company,Color,Current,Prior Mo,Prior Yr,TTM,Spark (6 vals semicolon-sep),
[Company 1],#2B28F5,0,0,0,0,0;0;0;0;0;0,
[Company 2],#7A5CF5,0,0,0,0,0;0;0;0;0;0,
Head Office,#BFC0E6,0,0,0,0,0;0;0;0;0;0,
,,,,,,,
=== BY COMPANY - MONTH: ADJ. EBITDA (mom/yoy/consolidated auto-computed) ===,,,,,,,
Company,Color,Current,Prior Mo,Prior Yr,TTM,Spark (6 vals semicolon-sep),
[Company 1],#2B28F5,0,0,0,0,0;0;0;0;0;0,
[Company 2],#7A5CF5,0,0,0,0,0;0;0;0;0;0,
Other & HO,#BFC0E6,0,0,0,0,0;0;0;0;0;0,
,,,,,,,
=== BY COMPANY - YTD (totals & vs-budget auto-computed) ===,,,,,,,
Company,Color,Revenue,Rev YoY %,Adj. EBITDA,EBITDA YoY %,Spark (6 vals semicolon-sep),
[Company 1],#2B28F5,0,0,0,0,0;0;0;0;0;0,
[Company 2],#7A5CF5,0,0,0,0,0;0;0;0;0;0,
Head Office,#BFC0E6,0,0,0,0,0;0;0;0;0;0,
YTD scalars,,,,,,,
Field,Value,,,,,,
consolRevYoY,0,,,,,,
consolEbitdaYoY,0,,,,,,
budgetRev,0,,,,,,
budgetEbitda,0,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
,,,,,,,
=== REVENUE TREND COMMENTARY (bullets beside revenue chart) ===,,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
,,,,,,,
=== ADJ. EBITDA TREND COMMENTARY (bullets beside EBITDA chart) ===,,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
,,,,,,,
=== EBITDA BRIDGE - YoY (start/end endpoints auto-computed) ===,,,,,,,
Driver Label,YoY Value ($000s; minus = drag),,,,,,
[Driver 1],0,,,,,,
[Driver 2],0,,,,,,
[Driver 3],0,,,,,,
Bridge commentary,,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
,,,,,,,
=== PORTFOLIO MIX NOTE (donut data auto-computed from P&L) ===,,,,,,,
note,,,,,,,
,,,,,,,
=== VALUE-CREATION MATRIX (bubble) ===,,,,,,,
Company,Color,Rev Growth % (x),TTM Margin % (y),TTM Revenue size,,,
[Company 1],#2B28F5,0,0,1,,,
[Company 2],#7A5CF5,0,0,1,,,
Axis,,,,,,,
xRange (min;max),-40;110,,,,,,
yRange (min;max),-5;45,,,,,,
,,,,,,,
=== FCF TO SHAREHOLDERS (subtotal & total rows auto-summed - leave blank) ===,,,,,,,
Line,Amount ($000s; minus sign for outflows),Kind (line/subtotal/total),,,,,
Adjusted EBITDA,0,line,,,,,
Less: Adj. EBITDA to NCI,0,line,,,,,
Cash taxes paid,0,line,,,,,
Interest payments on debt,0,line,,,,,
Severance,0,line,,,,,
"Other adjustments, net",0,line,,,,,
FCF to shareholders,,subtotal,,,,,
"Add back: severance & non-recurring, net",0,line,,,,,
Adjusted FCF to shareholders,,total,,,,,
FCF commentary / note,,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
commentary_3,,,,,,,
note,,,,,,,
,,,,,,,
=== FUND HOLDINGS (margins / attributable / LP totals auto-computed) ===,,,,,,,
Holding,Color,Revenue,Adj. EBITDA,Ownership %,,,
[Holding 1],#2B28F5,0,0,0,,,
[Holding 2],#7A5CF5,0,0,0,,,
Fund scalars,,,,,,,
Field,Value,,,,,,
tinyLPInterest,0,,,,,,
commentary_1,,,,,,,
commentary_2,,,,,,,
commentary_3,,,,,,,
,,,,,,,
=== SUM-OF-THE-PARTS (segment EV / equity / Tiny-NCI split auto-computed) ===,,,,,,,
Segment,Color,TTM EBITDA,Multiple,,,,
[Segment 1],#1A1980,0,0,,,,
[Segment 2],#2B28F5,0,0,,,,
SOTP scalars,,,,,,,
Field,Value,,,,,,
netDebt,0,,,,,,
tinyEquityPct,0,,,,,,
note,,,,,,,
